,Shopname,Average Price,Address,Tel,Tags,Taste,Environment,Service,Remark
41,新斗記(百老匯店),305,"地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G001-G008, E-1001",              +853-88831838,茶餐厅,8.6,8.9,8.7,172
42,英皇娱乐酒店御厨餐厅,280,地址:南湾商业大马路288号，英皇娱乐酒店9楼,              ,自助餐,8.4,8.7,8.5,576
43,顺轩海鲜酒家,322,地址:皇朝區天鑽大廈雅詩閣酒店一樓,              +853-28836666,粤菜,8.9,9,8.8,99
44,雅吉(美狮美高梅店),783,地址:澳门路氹体育馆大马路美狮美高梅夹楼层,              +853-88062308,更多美食,9.1,9.1,9.2,43
45,山里(悦榕庄店),795,地址:澳门路氹城澳門銀河综合渡假城，澳门大仓酒店28楼,              +853-88835127,日本料理,8.3,9,8.7,83
46,木偶葡国餐厅,175,地址:凼仔消防局前地38号,              28827128,西餐,7.1,8.1,7.8,1065
47,渔兵卫海鲜丼(皇朝店),126,地址:马济时大马路195号东南亚花园地下AO,              +853-28724397,日本料理,8,7.6,7.7,35
48,聪少甜品,35,地址:澳门营地大街114号德宝大厦地下CO座,              28389007,面包甜点,8.5,8.1,8,83
49,班妮意大利餐厅,240,地址:澳门路凼连贯公路澳门喜来登金沙城中心酒店1楼,              +853-81131200,西餐,7.9,8.9,8.5,163
50,熊猫葡国餐厅,110,地址:凼仔施督宪正街4-8号,              +853-28827338,西餐,7.7,8.1,8,523
51,丰收台葡国餐,139,地址:皇朝區天鑽大廈雅詩閣酒店一樓,              +853-28833377,西餐,8,8.7,8.5,76
52,渔兵卫海鲜丼(渡船街店),114,地址:澳门渡船台10-12号丰裕大厦地下A,              +853-28210612,日本料理,8,7.8,7.6,33
53,暹罗屋泰国菜,124,地址:澳门氹仔告利雅施利华街23号地铺(官也街),              +853-28827218,东南亚菜,8.6,8.5,8.4,105
54,北海道日本料理,403,地址:新口岸殷丰素皇前地117-137号1楼,              +853-28718883,日本料理,8.7,8.8,8.9,250
55,金殿堂(澳门美高梅店),694,地址:宋玉生广场(皇朝)外港新填海区B区B2街区A地段澳门美高梅金殿贵宾大堂地下,              +853-88022361,粤菜,8.1,8.3,7.6,36
56,百味館(百老匯店),82,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 H-G004-G005,              +853-88833338,粤菜,8.1,8.3,8.4,80
57,御瀛日本料理,269,地址:皇朝區天鑽大廈雅詩閣酒店一樓,              +853-28860000,日本料理,8.4,8.3,8.4,56
58,拉面小路(澳门本店),70,地址:红窗门街48号美景大厦地下50号铺,              28938964,日本料理,8.4,7.8,8.9,68
59,福龍葡國餐(百老匯店),191,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-G005-G009,              +853-88833338,西餐,8.3,8.8,9,51
60,咖啡苑(永利酒店),294,地址:外港填海区仙德麗街永利澳门万利酒店地面层,              +853-89863663,自助餐,8,8.4,8,76
61,蜀道(美狮美高梅店),432,地址:凼仔岛美狮美高美一楼,              +853-88062358,中餐,7.2,8.6,7.6,41
62,乐轩华粤菜餐厅,179,地址:新马路巴素打尔古街澳门十六浦索菲特酒店18楼,              +853-88611001,中餐,8.4,8.4,7.9,56
63,银河快富站,21,地址:路氹城「澳门银河™」综合渡假城东翼广场底层,              +853-88832221,小吃快餐,7.1,7.3,6.9,114
64,盛焰(美狮美高梅店),620,地址:路氹城体育馆大马路美狮美高梅二层,              +853-88062318,法国菜,6.9,7.7,7.7,22
65,食八方,103,地址:新口岸外港新填海区B区B2街区A地段澳门美高梅金殿娱乐场内,              +853-88022389,粤菜,8.1,8.4,7.9,97
66,好锅(美狮美高梅店),470,地址:澳门路氹体育馆大马路美狮美高梅地面层,              +853-88062368,火锅,7.3,7.6,7.6,37
67,珀克餐厅,134,地址:孙逸仙大马路澳门渔人码头励庭海景酒店阁楼,              87996606,自助餐,7.6,7.9,7.8,22
68,美高梅 北厨南苑,213,地址:孙逸仙大马路1101号,              +853-88022389,茶餐厅,8,8.4,7.9,45
69,涛岸(美狮美高梅店),257,地址:路氹城体育馆大马路美狮美高梅一层,              +853-88062328,西餐,7.7,8.6,8.1,32
70,泰潮(百老汇店),104,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G020-G021,              +853-63366888,东南亚菜,8.3,8.1,8.3,86
71,御厨餐厅,168,地址:商業大馬路288號英皇娛樂酒店9樓,              +853-28389988,自助餐,7.7,8.1,8.5,244
73,新馬路成記粥品(百老匯店),36,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G025,              +853-88833338,小吃快餐,7.7,7.3,7.6,31
74,淳(美狮美高梅店),320,地址:中国澳门路氹城體育館大馬路美獅美高梅地舖,              +853-88062388,粤菜,7.8,8.2,7.6,36
75,意粉屋,148,地址:澳門銀河地下，G013,              +853-88832221,西餐,8.3,8.6,8.4,111
76,面对面(美狮美高梅店),84,地址:路氹城体育馆大马路美狮美高梅G层,              +853-88062378,中餐,7.4,7.8,7.3,30
78,皇家葡萄肴,211,地址:南湾新填海区D区域1号地段澳门旅游塔会展中心地下大堂,              +853-28962878,西餐,7.5,8.2,8,42
79,貝隆(悦榕庄店),947,地址:澳门路氹城澳門銀河综合渡假城，澳门悦榕庄31楼,              +853-88836090,法国菜,7.7,7.8,8.1,44
80,好景轩,1350,地址:科英布拉街430-438號光輝苑地下及一樓E﹑F﹑G舖,              +853-28366666,中餐,8,7.6,8,18
81,甜点(美狮美高梅店),115,地址:宋玉生广场(皇朝)外港填海区孙逸仙大马路美高梅金殿大堂,              +853-88022324,面包甜点,7.5,7.9,7.3,29
82,宝雅座(美狮美高梅店),567,地址:宋玉生广场(皇朝)外港填海区孙逸仙大马路美高梅金殿天幕广场法国小区内,              +853-88022319,西餐,8.2,8.7,8.2,37
83,萬豪中菜廳(万豪酒店店),353,地址:澳门路氹城澳门银河综合渡假城，澳门JW万豪酒店1楼,              +853-88866228,中餐,7.9,8.5,7.8,54
84,佛笑楼(地堡街店),196,地址:氹仔地堡街181-185号地下,              28825257,西餐,7,7.5,7.5,47
85,尚坊(悦榕庄店),372,地址:澳门路氹城澳門銀河综合渡假城，澳门悦榕庄，地下,              +853-88836061,东南亚菜,7.9,8.4,8.3,51
86,锦记牛杂(卖草地里分店),40,地址:草堆街長信大廈地下9號B舖,              +853-63611281,小吃快餐,8.1,7.2,7.8,97
87,榮式燒雞(亞洲美食坊店),38,地址:澳门银河™地下，G025,              +853-88832221,粤菜,7.2,7.3,7.3,20
89,亚洲美食坊,74,地址:路氹城「澳门银河™」综合渡假城地下，G025,              +853-88832221,小吃快餐,7.2,7.4,7,88
90,巴山酸辣粉(百老匯店),57,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-G019,              +853-88833338,中餐,7.5,7.3,7.3,24
91,哈尔滨水饺,181,地址:聖德倫街402號獲多利大廈地下A舖及一樓,              +853-28233266,小吃快餐,7.1,7,7,21
92,大堂酒廊,61,地址:澳門JW萬豪酒店地下,              +853-88866228,小吃快餐,7.6,7.5,7.7,18
93,雅舍餐厅,482,地址:路氹城金沙城中心瑞吉酒店1楼,              +853-28828898,西餐,7.4,8.1,8.1,26
94,奈和美,143,地址:澳门大仓酒店地下，G119,              +853-88835116,咖啡厅,7.2,7.5,7.4,13
95,陶陶居海鮮酒家(新馬路店),385,地址:爐石塘巷6-8號地下,              +853-28572629,粤菜,9.2,8.9,9,1777
96,Mezza9 Macau,619,地址:路氹城连贯公路新濠天地君悦酒店3楼,              +853-88681920,自助餐,9.1,9.2,9.2,154
97,8,705,地址:南湾葡京路新葡京酒店2楼,              +853-88037788,粤菜,9,9.2,9.1,1575
98,誉珑轩,506,地址:路氹城连贯公路新濠天地新濠大道二楼,              +853-88682822,粤菜,9.1,9.3,9.2,535
99,金玉满堂(南湾大马路店),62,地址:南湾大马路5号龙图阁地下,              +853-28822282,茶餐厅,9,8.4,8.5,471
100,六棉酒家,142,地址:杭州街60号,              +853-28833333,粤菜,9,8.9,8.5,531
101,協成海鮮火鍋(岐關老店),824,地址:蓬萊新巷1號A及4號A地下,              +853-28938744,火锅,9.3,8.8,9.1,538
102,咖啡苑(永利皇宫店),327,地址:路氹城体育馆大马路永利皇宫地铺,              +853-88893698,自助餐,9.1,9.4,9.3,308
104,华星冰室(马德里街店),48,地址:新口岸皇朝区马德里街37号,              +853-28755727,茶餐厅,9,8.4,8.4,402
105,巴黎人法式餐厅,410,地址:澳门路氹金光大道连贯公路澳门巴黎人3楼,              +853-28828833,法国菜,8.9,9.1,9.1,218
106,天巢法国餐厅,1409,地址:南湾葡京路2-4号新葡京酒店43楼,              +853-88037878,法国菜,9,9.3,9.3,536
107,朝,452,地址:澳门路氹金光大道连贯公路澳门金沙城中心康萊德酒店1楼,              +853-81138920,中餐,9,9.2,9.2,178
108,莫尔顿牛排坊(威尼斯人店),852,地址:威尼斯人度假村1楼1016铺,              +853-81175000,牛排,9,9.2,9.1,292
109,御莲宫,392,地址:澳门路氹金光大道连贯公路澳门巴黎人3楼,              +853-81119260,粤菜,9.1,9.2,9.1,158
110,協成海鮮火鍋(海洋花園店),918,地址:氹仔海洋花園大馬路522-526號海洋花園桂苑榆苑地下A座及B座,              +853-28282812,火锅,9.3,9,9,246
112,七彩大排挡,121,地址:氹仔潮州街36/48/52金利達地下,              +853-28836272,粤菜,8.7,7.3,7.7,433
113,财神爷海鲜炖品饭店,229,地址:新马路营地大街117号,              +853-28370512,粤菜,9,8.2,9.1,540
114,番茄屋葡式美食(史山總店),76,地址:连安后巷富安大厦4号及6号地下,              +853-28362171,西餐,8.6,8.1,8.7,1876
115,澳门凤城康记饭店,92,地址:河边新街185号地下,              +853-66810119,中餐,9,6.7,7.8,180
116,北方馆(澳门威尼斯人店),166,地址:澳门氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1015号,              +853-81189980,中餐,8.9,9.1,8.8,214
117,喜莲咖啡,43,地址:凼仔飞能便度街90号南龙花园84B,              +853-28827733,茶餐厅,8.9,8.1,8.1,436
118,玥龙轩,614,地址:新濠影汇酒店巨星汇二楼2111店,              +853-88656560,粤菜,9.1,9.3,9.3,258
119,明记牛杂,50,地址:新马路炉石塘巷,              ,小吃快餐,8.2,6.6,7.1,1240
121,保叔美食,45,地址:手肘围德隆新街广业大厦6A地铺,              +853-28389491,中餐,8.9,8.7,9.1,196
122,马庆康南天咖啡室,50,地址:俾利喇街65号,              +853-28590161,茶餐厅,9,7.6,7.9,154
123,船屋葡国餐厅,185,地址:下环河边新街289号A地,              +853-28313193,西餐,8.4,8.4,8.4,783
124,肥仔文美食,130,地址:凼仔孙逸仙博士大马路460号华峰阁地下I铺,              +853-28844079,粤菜,9,7.5,8.2,373
125,洪馨椰子,16,地址:新马路果栏街14号,              28920944,冰淇淋,8.8,7.3,8.1,372
126,永利宫(永利皇宫店),766,地址:路氹城體育路大馬路永利皇宮西名店街地面層,              +853-88893663,粤菜,9,9.4,9.2,167
127,安德鲁饼铺(威尼斯人二铺),29,地址:澳门威尼斯人1F K13铺,              ,面包甜点,8.6,8.4,8.3,268
128,安德鲁饼店(官也街店),16,地址:官也街9E商铺,              +853-28576580,面包甜点,8.7,8,8.1,934
130,龙华茶楼,72,地址:提督市北街3号红街市侧,              +853-28574456,茶餐厅,8.2,8.4,8.3,528
131,假日西餐厅,102,地址:新口岸北京街82-86号澳门假日酒店4M楼,              87901488,茶餐厅,6.9,7.2,7.7,14
132,荣记牛杂(天神巷店),47,地址:天神巷白马行国华戏院地下,              ,小吃快餐,8.1,6.9,7.3,1029
134,胜利茶餐室,46,地址:营地大街94号,              +853-28573745,茶餐厅,8.4,7.3,7.7,1543
135,熊出没烧肉料理,198,地址:沙梨头海边街52-AB楚昌大厦B-E室铺,              +853-28957168,自助餐,8.8,8.7,9,230
136,南屏雅敘,35,地址:十月初五街85-85A号,              +853-28922267,茶餐厅,8.5,7.8,7.8,557
137,名门海鲜火锅,928,地址:氹仔旧城区南京街雄昌花园628号地铺,              +853-28993355,火锅,9.1,9,9.1,652
138,黄枝记(议事亭前地店),61,地址:议事亭前地17号,              +853-28331313,粤菜,8.3,7.7,7.5,4056
139,老day牛杂,38,地址:木鐸街38號,              ,小吃快餐,8.2,7.4,8.2,273
140,成记粥品,26,地址:新马路营地大街吴家围,              +853-66601295,小吃快餐,8.8,6.9,8.7,265
141,葡京日丽,261,地址:南湾葡京路2-4号葡京酒店东翼2楼,              +853-88033100,中餐,9.1,9.1,9.1,258
142,谭家鱼翅(告利雅施利华街店),270,地址:氹仔旧城区告利雅施利华街30号地下,              +853-28827840,海鲜,8.5,6.9,5.9,1355
143,四季火锅酒家(新濠影汇店),415,地址:新濠影汇购物大道一楼1069号店,              +853-28852261,火锅,9,9.1,9,104
144,李康记豆腐花,7,地址:新埗头街19号D地下,              +853-28920598,面包甜点,8.6,7.4,8.2,240
145,谭家鱼翅(新马路福隆新街店),235,地址:新马路福隆新街48号地铺,              +853-28356674,海鲜,8.8,7.4,7.5,833
146,柠檬车露(大堂巷店),33,地址:大堂巷11号,              28331570,冰淇淋,8.6,8.2,8.6,1063
147,協成海鮮火鍋(新口岸店),750,地址:廣州街38號C怡安閣大廈地下1-2樓,              +853-28782188,火锅,9.3,9.1,9.1,410
148,新陶陶酒家,395,地址:告利雅施利华街26号,              +853-28827065,中餐,8.9,7.5,8,418
149,六记粥面,75,地址:三盏灯沙梨头仁慕巷1号,              +853-28559627,小吃快餐,8.5,7.2,7.6,353
151,金坂极上寿司(新濠天地店),1732,地址:路氹城连贯公路新濠天地皇冠度假酒店一楼,              +853-88687300,日本料理,9.2,9.2,9.1,117
152,卡夫卡,83,地址:凼仔布拉格街152号,              28820086,面包甜点,8.5,8.5,8.4,118
153,御膳房 The Tasting Room,714,地址:新濠天地頤居酒店三楼,              +853-88686681,法国菜,8.9,9.2,9.2,190
154,Lady M Cake Boutique(金沙城澳...,95,地址:澳門氹仔路氹金光大道金沙廣場2樓2203B號鋪,              +853-28551680,面包甜点,8.1,8.6,8.2,208
156,陈光记饭店(罗保博士街),71,地址:罗保博士街马路19号地下,              +853-28710378,粤菜,8.5,6.9,7.1,1547
157,华峰食馆(氹仔店),69,地址:凼仔孙逸仙博士大马路454号,              +853-28832115,小吃快餐,8.5,7.6,7.7,306
158,香港金牌海鮮火鍋,1833,地址:澳門銀河M樓，M01,              +853-88832266,火锅,9.1,9.1,9.1,94
159,长洲平记糯米糍,16,地址:凼仔官也街，莫义记左拐,              ,面包甜点,8.6,7.6,8.2,685
160,大利来记餐厅(氹仔总店),49,地址:澳門巴波沙總督街18號,              +853-28827150,小吃快餐,7.6,7,7.3,2333
161,紫逸轩,607,地址:路氹金光大道望德圣母湾大马路四季酒店大堂1楼,              +853-28818818,粤菜,9,9.1,9.1,274
162,添发碗仔翅美食,79,地址:新马路福隆新街18号地下,              +853-66508211,小吃快餐,8.3,6.8,7.2,2200
163,Cha Bei,153,地址:澳门路氹城澳門銀河综合渡假城，1楼，1047,              +853-88832221,咖啡厅,7.6,9,8.7,605
164,莫义记(官也街店),37,地址:凼仔官也街9号A,              66695194,面包甜点,7.7,7.2,7.4,2611
165,氹仔渔村,669,地址:氹仔旧城区巴波沙总督街前地,              +853-28825005,海鲜,9,7.7,7.6,477
166,翠華(澳门银河店),93,地址:澳门路氹城澳門銀河綜合渡假城，地下，G024,              +853-88832268,茶餐厅,8.5,8.5,8,992
167,玛嘉烈蛋挞(提督街店),30,地址:澳门新馬路馬統領街金利來大廈 2871 003217B地舖,              +853-28710034,面包甜点,8,6.9,6.1,5086
168,Isaac Toast & Coffee(新馬路店),58,地址:新马路龙嵩正街8D右生大厦地下A1铺,              +853-28329993,咖啡厅,8.6,8.1,8.2,184
169,京花轩(永利酒店),1288,地址:外港填海区仙德麗街永利澳门酒店地面层,              +853-89863663,中餐,9.1,9.4,9.2,141
170,桃园,125,地址:路凼连贯公路金沙城中心1楼,              +853-81137970,粤菜,8,8.5,7.8,760
171,SKY 21 Bar & Restaurant,166,地址:商业大马路251A-301号友邦广场F21号,              +853-28222122,酒吧,8.4,9.1,8.6,181
172,牛记咖喱美食(十月初五街店),51,地址:新马路十月初五日街1号,              28956129,小吃快餐,8.3,7.1,7.5,477
173,世记咖啡(氹仔外卖店),31,地址:氹仔旧城区消防局前地1号地铺,              +853-65691214,咖啡厅,8.2,7.3,7.6,368
174,協成海鮮火鍋(星際店),1034,地址:澳门仙德丽街338号 星际酒店10楼,              +853-28508030,火锅,9.2,9.2,9.2,125
175,豚王拉麵(澳门银河店),83,地址:澳门路氹城澳門銀河综合渡假城，地下，G117,              +853-88832221,日本料理,8.5,8.4,8.7,758
176,Albergue 1601,236,地址:疯堂斜巷8号,              28361601,西餐,8.2,9,8.9,122
177,雅馨缅甸餐厅(便度街F店),42,地址:飞能便度街27号F地下,              +853-28528129,东南亚菜,8.6,7.6,8.1,301
178,李家菜(百老匯店),124,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G028,              +853-88833338,粤菜,8.6,7.7,8.2,158
179,泓日本料理(永利皇宫店),1356,地址:路氹体育馆大马路永利皇宫北名店街地面层,              +853-88893688,日本料理,9.1,9.1,9.2,198
180,KOI thé,20,地址:地堡街23.24號地下,              +853-28576643,奶茶/果汁,8,8,8.2,326
181,金悦軒(銀河店),494,地址:路氹城「澳門銀河™」綜合渡假城銀河酒店1樓1001號舖,              +853-88832200,粤菜,9.1,9.1,9,239
182,葡軒,223,地址:澳門銀河地下，G011,              +853-88832221,西餐,8.2,9,9,312
183,老记海鲜粥面菜馆(南湾店),158,地址:贾那韶巷2号,              +853-28710018,粤菜,9,8.8,8.3,264
184,番茄屋葡国美食(镜湖分店),82,地址:柯利维喇街6号金兴大厦地下,              +853-28973993,西餐,8.9,8.6,9.1,199
185,永利扒房(永利皇宫店),1003,地址:路氹体育馆大马路永利皇宫北名店街地面层,              +853-88893628,西餐,9,9.2,9.1,78
186,美丽华餐厅,250,地址:路环黑沙滩北面,              +853-28882623,西餐,9,9,8.7,233
187,盛记白粥(氹仔店),24,地址:氹仔孙逸仙博士大马路257-261号利民大厦地下D铺,              +853-28535127,小吃快餐,7.8,7.4,7.3,604
188,大厨,728,地址:南湾葡京路新葡京酒店3楼珀金楼层,              88037777,牛排,9.1,9,9.2,149
189,翠华餐厅(星际酒店),91,地址:澳门友谊大马路 星际酒店3楼,              +853-82908686,茶餐厅,8.6,8.7,8.4,245
190,東湖海鮮酒家,101,地址:新口岸友誼大馬路金華閣57-67號B和1字樓,              +853-28782299,火锅,7.8,7.2,7.6,25
191,喜粤,423,地址:澳门氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1018号,              +853-81189930,粤菜,8.1,8.8,8.6,111
192,波尔图葡国餐,121,地址:氹仔地堡街279号泉福新村第一期第四座嘉开阁地下M铺(近官也街),              28823318,西餐,8.3,8.3,8.8,327
193,凤凰大排挡,118,地址:澳门筷子基船澳街海擎天38-46号,              +853-28233318,中餐,8.1,8.1,8.1,18
194,最香饼家,48,地址:夜呣街12号B地下A座,              +853-28383858,面包甜点,8.5,7.3,7.5,207
195,义顺牛奶公司(新马路老店),30,地址:澳门半岛新马路381号,              +853-28373104,小吃快餐,7.7,6.9,6.5,4215
196,谭家鱼翅(皇朝店),209,地址:澳门皇朝区布鲁塞尔街100号建富阁,              ,海鲜,9,8.1,8.2,69
197,老佛爷,28,地址:南湾商业大马路新八佰伴7楼,              +853-28727455,面包甜点,8.5,8,7.9,1210
199,红8粥面(永利皇宫店),158,地址:路氹体育馆大马路永利皇宫地面层,              +853-88893648,中餐,8.8,9,8.4,252
200,The Apron(澳门银河店),539,地址:澳门路氹城澳門銀河综合渡假城，地下，G108,              +853-88832221,海鲜,9.1,9,8.8,116
201,坤记餐室,96,地址:水坑尾街264号,              28355460,小吃快餐,7.6,7.4,7.8,343
202,世记咖啡(卖草地里店),36,地址:卖草地里7-15号长信大厦地下,              63779664,咖啡厅,8.5,7.2,8,162
203,翡翠拉面小笼包(澳门巴黎人店),140,地址:澳门路氹城路氹金光大道连贯公路澳门巴黎人1楼,              +853-81119220,中餐,8,8.1,8,52
204,海湾餐厅,251,地址:河边新街261号A座地下和阁楼,              28967878,西餐,8.7,9,8.9,172
205,路環碼頭麵館,52,地址:船人街116號,              +853-28882153,面条,9,8.6,8.7,61
206,金玉满堂(白马行店),66,地址:澳門柯傳善堂圍12號,              ,小吃快餐,8.1,7.5,7.7,230
207,黄枝记(十月初五街店),52,地址:十月初五街51号,              +853-28922271,小吃快餐,8.3,8,8,484
208,魔女雪花冰(威翠店),113,地址:澳门海湾南街285号威翠花园B座地下AC铺,              +853-28262625,韩国料理,7.4,7.5,7.5,12
209,大利来记餐厅(大三巴店),40,地址:新马路大三巴街凤凰大厦1楼23号,              +853-28366085,小吃快餐,7.9,7.1,7.5,1141
210,新益美食,160,地址:澳門觀音堂街29號新益花園,              28481046,粤菜,9,8,8.4,146
211,佛笑楼(福隆新街店),243,地址:新马路福隆新街64号,              +853-28573580,西餐,8.2,8.9,9,204
212,诚昌饭店(官也街店),142,地址:凼仔官也街28-30号,              +853-28825323,中餐,7.6,6.1,6.1,3150
213,度小月(百老汇美食街店),90,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-G014-G016,              +853-88833338,面条,8.6,8.9,8.8,194
214,義順牛奶(百老匯店),38,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G022,              +853-28844330,小吃快餐,8.4,7.8,7.7,338
215,太艮堡陈老太顺德料理(澳门店),208,地址:友谊大马路澳门渔人码头意大利馆地铺,              +853-28813322,粤菜,8.6,8.8,8.4,242
217,鴻門宴,251,地址:馬交石街258號御景灣5座地下J鋪,              +853-28581111,中餐,8.1,8,8.1,62
