Shopname,Average Price,Address,Tel,Tags
小飞象葡国餐厅,¥153,地址:凼仔地堡街喜来登广场2楼,              +853-28827888,西餐
帝皇楼粤菜,¥201,地址:商业大马路251A-301号友邦广场1楼G05-G07铺,              +853-28757218,粤菜
九点海鲜火锅,¥326,地址:圣德伦街491号皇朝广场地下,              +853-28508885,海鲜
壹燕糖,¥52,地址:福隆新街1号,              +853-66602916,面包甜点
888美食天地自助餐,¥156,地址:宋玉生廣場蒙地卡羅前地203號,              +853-28883388,自助餐
公鸡葡国餐厅(新马路东方斜巷店),¥170,地址:新马路东方斜巷百宝大厦地下A铺,              +853-28827423,西餐
鸣诗(四季酒店),¥299,地址:路凼区望德圣母湾大马路四季酒店1楼,              +853-28818811,西餐
唐吉柯德,¥188,地址:氹仔地堡街23-31號泉福新邨第二期第5座偉興閣地下AA鋪,              +853-28825028,西班牙菜
好彩海鮮火鍋飯店(百老匯店),¥1190,"地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G023-G024, E-1011, E-1002-1003",              +853-88831818,海鲜
谭家鱼翅(皇朝店),¥206,地址:澳门皇朝区布鲁塞尔街100号建富阁,              ,海鲜
杏香園(百老匯店),¥42,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G030,              +853-28845202,面包甜点
巴黎餐厅,¥152,地址:友谊大马路澳门渔人码头励宫酒店地面层,              +853-88018001,自助餐
英皇娱乐酒店御厨餐厅,¥275,地址:南湾商业大马路288号，英皇娱乐酒店9楼,              ,自助餐
金沙城美食中心,¥87,地址:连贯公路金沙城中心,              +853-81183643,小吃快餐
新斗記(百老匯店),¥305,"地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G001-G008, E-1001",              +853-88831838,茶餐厅
Janice Wong MGM(美狮美高梅店),¥133,地址:路氹城體育館大馬路美獅美高梅地舖,              +853-88062338,面包甜点
顺轩海鲜酒家,¥321,地址:皇朝區天鑽大廈雅詩閣酒店一樓,              +853-28836666,粤菜
碧迎居,¥180,地址:新濠影汇娱乐场一楼1182店,              +853-88656650,粤菜
麗思酒廊,¥266,地址:澳門麗思卡爾頓酒店51樓,              +853-88866712,酒吧
雅吉,¥735,地址:澳门路氹体育馆大马路美狮美高梅夹楼层,              +853-88062308,更多美食
木偶葡国餐厅,¥173,地址:凼仔消防局前地38号,              28827128,西餐
班妮意大利餐厅,¥253,地址:澳门路凼连贯公路澳门喜来登金沙城中心酒店1楼,              +853-81131200,西餐
山里(悦榕庄店),¥648,地址:澳门路氹城澳門銀河综合渡假城，澳门大仓酒店28楼,              +853-88835127,日本料理
丰收台葡国餐,¥139,地址:皇朝區天鑽大廈雅詩閣酒店一樓,              +853-28833377,西餐
暹罗屋泰国菜,¥125,地址:澳门氹仔告利雅施利华街23号地铺(官也街),              +853-28827218,东南亚菜
北海道日本料理,¥403,地址:新口岸殷丰素皇前地117-137号1楼,              +853-28718883,日本料理
御瀛日本料理,¥276,地址:皇朝區天鑽大廈雅詩閣酒店一樓,              +853-28860000,日本料理
聪少甜品,¥35,地址:澳门营地大街114号德宝大厦地下CO座,              28389007,面包甜点
熊猫葡国餐厅,¥110,地址:凼仔施督宪正街4-8号,              +853-28827338,西餐
百味館(百老匯店),¥82,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 H-G004-G005,              +853-88833338,粤菜
渔兵卫海鲜丼(皇朝店),¥130,地址:马济时大马路195号东南亚花园地下AO,              +853-28724397,日本料理
渔兵卫海鲜丼(渡船街店),¥114,地址:澳门渡船台10-12号丰裕大厦地下A,              +853-28210612,日本料理
咖啡苑(永利酒店),¥294,地址:外港填海区仙德麗街永利澳门万利酒店地面层,              +853-89863663,自助餐
拉面小路(澳门本店),¥68,地址:红窗门街48号美景大厦地下50号铺,              28938964,日本料理
福龍葡國餐(百老匯店),¥189,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-G005-G009,              +853-88833338,西餐
谭家鱼翅(辉利大厦店),¥267,地址:主教巷1-B号辉利大厦地下A座,              +853-28389548,海鲜
乐轩华粤菜餐厅,¥194,地址:新马路巴素打尔古街澳门十六浦索菲特酒店18楼,              +853-88611001,中餐
食八方,¥107,地址:新口岸外港新填海区B区B2街区A地段澳门美高梅金殿娱乐场内,              +853-88022389,粤菜
银河快富站,¥20,地址:路氹城「澳门银河™」综合渡假城东翼广场底层,              +853-88832221,小吃快餐
美高梅 北厨南苑,¥209,地址:孙逸仙大马路1101号,              +853-88022389,茶餐厅
珀克餐厅,¥134,地址:孙逸仙大马路澳门渔人码头励庭海景酒店阁楼,              87996606,自助餐
泰潮(百老汇店),¥107,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G020-G021,              +853-63366888,东南亚菜
好锅,¥454,地址:澳门路氹体育馆大马路美狮美高梅地面层,              +853-88062368,火锅
御厨餐厅,¥166,地址:商業大馬路288號英皇娛樂酒店9樓,              +853-28389988,自助餐
888美食天地,"
        -",地址:蒙地卡罗前地203号,              89838222,更多美食
皇家葡萄肴,¥211,地址:南湾新填海区D区域1号地段澳门旅游塔会展中心地下大堂,              +853-28962878,西餐
淳,¥344,地址:中国澳门路氹城體育館大馬路美獅美高梅地舖,              +853-88062388,粤菜
涛岸,¥261,地址:路氹城体育馆大马路美狮美高梅一层,              +853-88062328,西餐
黄慧娴美狮美高梅,"
        -",地址:美高梅,              ,面包甜点
面对面,¥84,地址:路氹城体育馆大马路美狮美高梅G层,              +853-88062378,中餐
万豪火锅,¥141,地址:长崎街43号新华大厦1楼B铺,              28705656,火锅
貝隆(悦榕庄店),¥930,地址:澳门路氹城澳門銀河综合渡假城，澳门悦榕庄31楼,              +853-88836090,法国菜
好景轩,¥1350,地址:科英布拉街430-438號光輝苑地下及一樓E﹑F﹑G舖,              +853-28366666,中餐
新馬路成記粥品(百老匯店),¥38,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G025,              +853-88833338,小吃快餐
蜀道,¥474,地址:凼仔岛美狮美高美一楼,              +853-88062358,中餐
萬豪中菜廳(万豪酒店店),¥397,地址:澳门路氹城澳门银河综合渡假城，澳门JW万豪酒店1楼,              +853-88866228,中餐
榮式燒雞(亞洲美食坊店),¥38,地址:澳门银河™地下，G025,              +853-88832221,粤菜
尚坊(悦榕庄店),¥372,地址:澳门路氹城澳門銀河综合渡假城，澳门悦榕庄，地下,              +853-88836061,东南亚菜
金殿堂(澳门美高梅店),¥696,地址:宋玉生广场(皇朝)外港新填海区B区B2街区A地段澳门美高梅金殿贵宾大堂地下,              +853-88022361,粤菜
大堂酒廊,¥61,地址:澳門JW萬豪酒店地下,              +853-88866228,小吃快餐
佛笑楼(地堡街店),¥196,地址:氹仔地堡街181-185号地下,              28825257,西餐
宝雅座,¥567,地址:宋玉生广场(皇朝)外港填海区孙逸仙大马路美高梅金殿天幕广场法国小区内,              +853-88022319,西餐
好运轩,"
        -",地址:波爾圖街327-351號金苑大廈地下AJ﹑AK舖及二樓,              +853-28388383,粤菜
甜点,¥104,地址:宋玉生广场(皇朝)外港填海区孙逸仙大马路美高梅金殿大堂,              +853-88022324,面包甜点
盛焰,¥620,地址:路氹城体育馆大马路美狮美高梅二层,              +853-88062318,法国菜
哈尔滨水饺,¥175,地址:聖德倫街402號獲多利大廈地下A舖及一樓,              +853-28233266,小吃快餐
万豪轩酒家,¥118,地址:长崎街新华大厦2楼,              28706623,粤菜
亚洲美食坊,¥74,地址:路氹城「澳门银河™」综合渡假城地下，G025,              +853-88832221,小吃快餐
奈和美,¥143,地址:澳门大仓酒店地下，G119,              +853-88835116,咖啡厅
巴山酸辣粉(百老匯店),¥57,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-G019,              +853-88833338,中餐
巴黎轩,¥481,地址:路氹金光大道连贯公路澳门巴黎人巴黎铁塔6楼,              +853-81119210,中餐
雅舍餐厅,¥322,地址:路氹城金沙城中心瑞吉酒店1楼,              +853-28828898,西餐
Mezza9 Macau,¥619,地址:路氹城连贯公路新濠天地君悦酒店3楼,              +853-88681920,自助餐
陶陶居海鮮酒家(新馬路店),¥385,地址:爐石塘巷6-8號地下,              +853-28572629,粤菜
和庭餐廳,"
        -",地址:澳門大倉酒店6樓,              +853-88835126,海鲜
玫瑰园西餐厅,¥201,地址:长崎街35号新华大厦,              28701901,西餐
誉珑轩,¥506,地址:路氹城连贯公路新濠天地新濠大道二楼,              +853-88682822,粤菜
咖啡苑(永利皇宫店),¥329,地址:路氹城体育馆大马路永利皇宫地铺,              +853-88893698,自助餐
六棉酒家,¥142,地址:杭州街60号,              +853-28833333,粤菜
金玉满堂(南湾大马路店),¥62,地址:南湾大马路5号龙图阁地下,              +853-28822282,茶餐厅
华星冰室(马德里街店),¥48,地址:新口岸皇朝区马德里街37号,              +853-28755727,茶餐厅
協成海鮮火鍋(岐關老店),¥824,地址:蓬萊新巷1號A及4號A地下,              +853-28938744,火锅
假日西餐厅,¥102,地址:新口岸北京街82-86号澳门假日酒店4M楼,              87901488,茶餐厅
悦榕吧,"
        -",地址:澳門悦榕庄地下,              +853-88836061,咖啡厅
莫尔顿牛排坊(威尼斯人店),¥852,地址:威尼斯人度假村1楼1016铺,              +853-81175000,牛排
巴黎人法式餐厅,¥420,地址:澳门路氹金光大道连贯公路澳门巴黎人3楼,              +853-28828833,法国菜
御莲宫,¥394,地址:澳门路氹金光大道连贯公路澳门巴黎人3楼,              +853-81119260,粤菜
天巢法国餐厅,¥1409,地址:南湾葡京路2-4号新葡京酒店43楼,              +853-88037878,法国菜
一哥美食,¥95,地址:黑沙环第七街8号C-D,              +853-28413336,粤菜
喜莲咖啡,¥43,地址:凼仔飞能便度街90号南龙花园84B,              +853-28827733,茶餐厅
POLI CAFE 波力主题咖啡,"
        -",地址:澳门馬交石斜坡新益花園地下H座,              +853-28522391,咖啡厅
玥龙轩,¥614,地址:新濠影汇酒店巨星汇二楼2111店,              +853-88656560,粤菜
協成海鮮火鍋(海洋花園店),¥968,地址:氹仔海洋花園大馬路522-526號海洋花園桂苑榆苑地下A座及B座,              +853-28282812,火锅
朝,¥403,地址:澳门路氹金光大道连贯公路澳门金沙城中心康萊德酒店1楼,              +853-81138920,中餐
番茄屋葡式美食(史山總店),¥76,地址:连安后巷富安大厦4号及6号地下,              +853-28362171,西餐
银河运财套餐,"
        -",地址:澳门金沙娱乐场半岛蒙地卡罗前地203号,              8899101,小吃快餐
百话廊,"
        -",地址:路氹城體育館大馬路美獅美高梅地舖,              +853-88062398,酒吧
马庆康南天咖啡室,¥50,地址:俾利喇街65号,              +853-28590161,茶餐厅
澳门凤城康记饭店,¥92,地址:河边新街185号地下,              +853-66810119,中餐
财神爷海鲜炖品饭店,¥229,地址:新马路营地大街117号,              +853-28370512,粤菜
安德鲁饼铺(威尼斯人二铺),¥26,地址:澳门威尼斯人1F K13铺,              ,面包甜点
熊出没烧肉料理,¥198,地址:沙梨头海边街52-AB楚昌大厦B-E室铺,              +853-28957168,自助餐
保叔美食,¥44,地址:手肘围德隆新街广业大厦6A地铺,              +853-28389491,中餐
永利宫(永利皇宫店),¥772,地址:路氹城體育路大馬路永利皇宮西名店街地面層,              +853-88893663,粤菜
船屋葡国餐厅,¥179,地址:下环河边新街289号A地,              +853-28313193,西餐
七彩大排挡,¥121,地址:氹仔潮州街36/48/52金利達地下,              +853-28836272,粤菜
安德鲁饼店(官也街店),¥15,地址:官也街9E商铺,              +853-28576580,面包甜点
成记粥品,¥26,地址:新马路营地大街吴家围,              +853-66601295,小吃快餐
胜利茶餐室,¥46,地址:营地大街94号,              +853-28573745,茶餐厅
南屏雅敘,¥34,地址:十月初五街85-85A号,              +853-28922267,茶餐厅
葡京日丽,¥261,地址:南湾葡京路2-4号葡京酒店东翼2楼,              +853-88033100,中餐
名门海鲜火锅,¥928,地址:氹仔旧城区南京街雄昌花园628号地铺,              +853-28993355,火锅
荣记牛杂(天神巷店),¥47,地址:天神巷白马行国华戏院地下,              ,小吃快餐
明记牛杂,¥50,地址:新马路炉石塘巷,              ,小吃快餐
黄枝记(议事亭前地店),¥61,地址:议事亭前地17号,              +853-28331313,小吃快餐
老day牛杂,¥38,地址:木鐸街38號,              ,小吃快餐
洪馨椰子,¥16,地址:新马路果栏街14号,              28920944,冰淇淋
北方馆(澳门威尼斯人店),¥166,地址:澳门氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1015号,              +853-81189980,中餐
肥仔文美食,¥130,地址:凼仔孙逸仙博士大马路460号华峰阁地下I铺,              +853-28844079,粤菜
上海公馆私房菜,"
        -",地址:澳门圣德伦街与獲多利大厦486号,              +853-65989981,中餐
四季火锅酒家(新濠影汇店),¥394,地址:新濠影汇购物大道一楼1069号店,              +853-28852261,火锅
Lady M Cake Boutique(金沙城澳...,¥95,地址:澳門氹仔路氹金光大道金沙廣場2樓2203B號鋪,              +853-28551680,面包甜点
龙华茶楼,¥72,地址:提督市北街3号红街市侧,              +853-28574456,茶餐厅
柠檬车露(大堂巷店),¥33,地址:大堂巷11号,              28331570,冰淇淋
李康记豆腐花,¥7,地址:新埗头街19号D地下,              +853-28920598,面包甜点
六记粥面,¥75,地址:三盏灯沙梨头仁慕巷1号,              +853-28559627,小吃快餐
金坂极上寿司(新濠天地店),¥1732,地址:路氹城连贯公路新濠天地皇冠度假酒店一楼,              +853-88687300,日本料理
協成海鮮火鍋(新口岸店),¥750,地址:廣州街38號C怡安閣大廈地下1-2樓,              +853-28782188,火锅
新陶陶酒家,¥395,地址:告利雅施利华街26号,              +853-28827065,中餐
御膳房,¥714,地址:路氹城连贯公路新濠天地皇冠酒店三楼,              +853-88686681,法国菜
卡夫卡,¥83,地址:凼仔布拉格街152号,              28820086,面包甜点
大利来记餐厅(氹仔总店),¥49,地址:澳門巴波沙總督街18號,              +853-28827150,小吃快餐
长洲平记糯米糍,¥16,地址:凼仔官也街，莫义记左拐,              ,面包甜点
添发碗仔翅美食,¥79,地址:新马路福隆新街18号地下,              +853-66508211,小吃快餐
紫逸轩,¥607,地址:路氹金光大道望德圣母湾大马路四季酒店大堂1楼,              +853-28818818,粤菜
莫义记(官也街店),¥37,地址:凼仔官也街9号A,              66695194,面包甜点
Isaac Toast & Coffee(新馬路店),¥58,地址:新马路龙嵩正街8D右生大厦地下A1铺,              +853-28329993,咖啡厅
翠華(澳门银河店),¥93,地址:澳门路氹城澳門銀河綜合渡假城，地下，G024,              +853-88832268,茶餐厅
陈光记饭店(罗保博士街),¥71,地址:罗保博士街马路19号地下,              +853-28710378,粤菜
泓日本料理(永利皇宫店),¥1475,地址:路氹体育馆大马路永利皇宫北名店街地面层,              +853-88893688,日本料理
世记咖啡(氹仔外卖店),¥29,地址:氹仔旧城区消防局前地1号地铺,              +853-65691214,咖啡厅
8½ Otto e Mezzo BOMBANA,¥964,地址:澳門銀河1楼，1031,              +853-88862169,西餐
Cha Bei,¥153,地址:澳门路氹城澳門銀河综合渡假城，1楼，1047,              +853-88832221,咖啡厅
牛记咖喱美食(十月初五街店),¥51,地址:新马路十月初五日街1号,              28956129,小吃快餐
李家菜(百老匯店),¥122,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G028,              +853-88833338,粤菜
桃园,¥125,地址:路凼连贯公路金沙城中心1楼,              +853-81137970,粤菜
香港金牌海鮮火鍋,¥1635,地址:澳門銀河M樓，M01,              +853-88832266,火锅
氹仔渔村,¥669,地址:氹仔旧城区巴波沙总督街前地,              +853-28825005,海鲜
玛嘉烈蛋挞(提督街店),¥30,地址:澳门新馬路馬統領街金利來大廈 2871 003217B地舖,              +853-28710034,面包甜点
京花轩(永利酒店),¥1288,地址:外港填海区仙德麗街永利澳门酒店地面层,              +853-89863663,中餐
豚王拉麵(澳门银河店),¥83,地址:澳门路氹城澳門銀河综合渡假城，地下，G117,              +853-88832221,日本料理
亚洲鲜火锅,¥332,地址:澳门路氹喜来登金沙城中心酒店地面大堂，奥旋自助餐厅对面,              +853-81131200,海鲜
SKY 21 Bar & Restaurant,¥166,地址:商业大马路251A-301号友邦广场F21号,              +853-28222122,酒吧
殿糖,"
        -",地址:马场海边马路,              +853-28403844,咖啡厅
老记海鲜粥面菜馆(南湾店),¥158,地址:贾那韶巷2号,              +853-28710018,粤菜
金悦軒(銀河店),¥494,地址:路氹城「澳門銀河™」綜合渡假城銀河酒店1樓1001號舖,              +853-88832200,粤菜
KOI thé,¥20,地址:地堡街23.24號地下,              +853-28576643,奶茶/果汁
雅馨缅甸餐厅(便度街F店),¥42,地址:飞能便度街27号F地下,              +853-28528129,东南亚菜
美丽华餐厅,¥251,地址:路环黑沙滩北面,              +853-28882623,西餐
協成海鮮火鍋(星際店),¥1033,地址:澳门仙德丽街338号 星际酒店10楼,              +853-28508030,火锅
番茄屋葡国美食(镜湖分店),¥82,地址:柯利维喇街6号金兴大厦地下,              +853-28973993,西餐
义顺牛奶公司(新马路老店),¥30,地址:澳门半岛新马路381号,              +853-28373104,小吃快餐
盛记白粥(氹仔店),¥24,地址:氹仔孙逸仙博士大马路257-261号利民大厦地下D铺,              +853-28535127,小吃快餐
葡軒,¥223,地址:澳門銀河地下，G011,              +853-88832221,西餐
大厨,¥728,地址:南湾葡京路新葡京酒店3楼珀金楼层,              88037777,牛排
The Apron(澳门银河店),¥526,地址:澳门路氹城澳門銀河综合渡假城，地下，G108,              +853-88832221,海鲜
坤记餐室,¥96,地址:水坑尾街264号,              28355460,小吃快餐
凤凰大排挡,¥118,地址:澳门筷子基船澳街海擎天38-46号,              +853-28233318,中餐
华峰食馆(氹仔店),¥69,地址:凼仔孙逸仙博士大马路454号,              +853-28832115,小吃快餐
翠华餐厅(星际酒店),¥91,地址:澳门友谊大马路 星际酒店3楼,              +853-82908686,茶餐厅
红8粥面(永利皇宫店),¥160,地址:路氹体育馆大马路永利皇宫地面层,              +853-88893648,中餐
海湾餐厅,¥251,地址:河边新街261号A座地下和阁楼,              28967878,西餐
老佛爷,¥28,地址:南湾商业大马路新八佰伴7楼,              +853-28727455,面包甜点
Albergue 1601,¥236,地址:疯堂斜巷8号,              28361601,西餐
世记咖啡(卖草地里店),¥36,地址:卖草地里7-15号长信大厦地下,              63779664,咖啡厅
金玉满堂(白马行店),¥66,地址:澳門柯傳善堂圍12號,              ,小吃快餐
永利扒房(永利皇宫店),¥997,地址:路氹体育馆大马路永利皇宫北名店街地面层,              +853-88893628,西餐
黄枝记(十月初五街店),¥52,地址:十月初五街51号,              +853-28922271,小吃快餐
魔女雪花冰(威翠店),¥113,地址:澳门海湾南街285号威翠花园B座地下AC铺,              +853-28262625,韩国料理
波尔图葡国餐,¥121,地址:氹仔地堡街279号泉福新村第一期第四座嘉开阁地下M铺(近官也街),              28823318,西餐
東湖海鮮酒家,¥101,地址:新口岸友誼大馬路金華閣57-67號B和1字樓,              +853-28782299,火锅
翡翠拉面小笼包(澳门巴黎人店),¥133,地址:澳门路氹城路氹金光大道连贯公路澳门巴黎人1楼,              +853-81119220,中餐
義順牛奶(百老匯店),¥38,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G022,              +853-28844330,小吃快餐
新益美食,¥160,地址:澳門觀音堂街29號新益花園,              28481046,粤菜
最香饼家,¥48,地址:夜呣街12号B地下A座,              +853-28383858,面包甜点
50岚(水坑尾街店),¥20,地址:水坑尾街125-127號，銀輝大廈地下H座,              +853-28322740,饮料冰品
大利来记餐厅(大三巴店),¥40,地址:新马路大三巴街凤凰大厦1楼23号,              +853-28366085,小吃快餐
佛笑楼(福隆新街店),¥243,地址:新马路福隆新街64号,              +853-28573580,西餐
永吉街老字号柠檬王,¥151,地址:连胜街1-D号的丽豪花园第二座的平台上Da铺,              66881786,小吃快餐
魔女雪花冰(富豪店),¥88,地址:澳門羅理基博士大馬路70-106富豪酒店大堂,              +853-28781112,咖啡厅
诚昌饭店(官也街店),¥142,地址:凼仔官也街28-30号,              +853-28825323,中餐
度小月(百老汇美食街店),¥90,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-G014-G016,              +853-88833338,面条
左麟右李,¥135,地址:澳门新濠天地二楼．苏濠,              +853-88686688,粤菜
碧涛意国渔乡,¥518,地址:澳门氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1039号,              +853-81189950,西餐
安德鲁花园咖啡,¥63,地址:路环市区打缆街105号地下,              +853-28881851,咖啡厅
Phoenix Lava,"
        -",地址:營地大街140-B號紅窗門大廈地下B舖.,              +853-28560036,小吃快餐
鴻門宴,¥251,地址:馬交石街258號御景灣5座地下J鋪,              +853-28581111,中餐
路環碼頭麵館,¥56,地址:船人街116號,              +853-28882153,面条
盛记白粥(新马路店),¥21,地址:天通街14号雅致大厦地下,              +853-28323471,小吃快餐
太艮堡陈老太顺德料理(澳门店),¥208,地址:友谊大马路澳门渔人码头意大利馆地铺,              +853-28813322,粤菜
祥记面家(福隆新街店),¥52,地址:新马路福隆新街68号地铺,              +853-28574310,小吃快餐
喜粤,¥423,地址:澳门氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1018号,              +853-81189930,粤菜
風味居,¥408,地址:澳门友谊大马路 星际酒店5楼,              +853-82908668,川菜
Hide Yamamoto,¥510,地址:新濠影汇购物大道一楼1091店,              +853-88653300,日本料理
桃花源小厨,¥381,地址:南湾葡京路2-4号葡京酒店东翼大堂,              +853-88033682,粤菜
翠華餐廳(百老匯店),¥75,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G009-G015,              +853-88831828,茶餐厅
添好运,¥84,地址:威尼斯人大運河購物中心美食街內,              ,小吃快餐
奇华饼家(威尼斯人店),¥41,地址:凼仔金光大道威尼斯人酒店大运河购物中心3楼脸谱街312号,              28828521,面包甜点
新口岸葡国餐(中裕大厦店),¥165,地址:新口岸宋玉生广场606H-606G中裕大厦L层,              +853-28703898,西餐
大倉酒店 - 宴會服務,"
        -",地址:澳門大倉酒店28樓,              +853-88835099,粤菜
杏香园雪糕甜品屋(清平店),¥41,地址:清平直街13号,              +853-28572701,面包甜点
和庭餐廳,"
        -",地址:路凼城“澳门银河™”综合渡假城澳门大仓酒店2楼206号铺,              +853-88835126,西餐
KIKA熙佳日式手工雪糕(大堂巷店),¥32,地址:大堂巷11A号福运大厦地下B座,              +853-28920957,冰淇淋
恒友鱼蛋(大堂店),¥41,地址:大堂巷12号C铺,              66508211,小吃快餐
大堂街炸鸡(大堂街店),¥47,地址:大堂街14号A-B地下,              +853-28338112,小吃快餐
协成海鲜火锅(皇朝店),¥953,地址:皇朝羅馬街22號東南亞商業中心地下,              +853-28755979,火锅
雅憩花园餐厅,¥177,地址:澳门路环计单奴街8号,              +853-28882086,茶餐厅
沙利文餐厅,¥192,地址:南湾大马路512号,              28881881,西餐
陈记深井烧鹅(新濠天地店),¥183,地址:澳門新濠天地二樓,              +853-28898675,粤菜
Pierre Hermé Paris(新濠影汇店...,¥213,地址:新濠影汇购物大道一楼1081店,              +853-88653450,面包甜点
氹仔茶餐厅,¥50,地址:地堡街253号,              28827668,茶餐厅
好彩海鲜火锅饭店,¥742,地址:贾罗布大马路102号,              +853-28786883,海鲜
江户日本料理(金沙城中心店),¥891,地址:路凼金沙城中心金沙广场1027铺,              +853-28852918,日本料理
冯记三盏灯猪脚姜,¥28,地址:飞能便度街街市熟食档,              66868695,小吃快餐
DEAN & DELUCA Café,¥52,地址:澳門銀河地下，G107,              +853-88832221,面包甜点
小岛葡国餐厅(威尼斯人店),¥284,地址:路氹城金光大道望德圣母湾大马路澳门威尼斯人度假村酒店大运河购物中心繁盛街746号铺,              +853-28963399,西餐
千笹日本料理,¥471,地址:花城区南京街17号花城利茂大厦地铺,              28835113,日本料理
新鸿发咖啡美食,¥36,地址:高士德贾伯乐提督街55号A,              +853-28530452,小吃快餐
新濠影汇大排档,¥111,地址:新濠影汇2楼,              ,茶餐厅
紐約薯條(亞洲美食坊店),"
        -",地址:澳门银河™地下，G025,              +853-88832221,西餐
金悅軒海鮮城(漁人碼頭店),¥465,地址:漁人碼頭新奧爾良I棟,              +853-28725599,海鲜
台湾帝钧碳烤胡椒饼,¥17,地址:新马路大炮台街1C号,              28362363,小吃快餐
晃记饼家,¥51,地址:凼仔官也街14号,              +853-28827142,面包甜点
江户日本料理(威尼斯人店),¥945,地址:望德圣母湾大马路威尼斯人购物中心3楼贡多拉街110号铺,              ,日本料理
瑞吉酒吧,¥142,地址:路氹城金沙城中心瑞吉酒店1楼,              +853-81133700,酒吧
鼎泰丰,¥153,地址:新濠影汇购物大道一楼1075店,              +853-88653305,小吃快餐
